DateTime,UTC Offset,NFN1_AT,NFN1_RH,NFN3_AT,NFN3_ST,NFN4_AT,NFN4_ST,NFN5_AT,NFN5_RH,NFN6_AT,NFN6_ST,NFN7_AT,NFN7_ST,NFN7_RH,date
12/4/2015,-8.0,,,1.875,,0.5,1.75,,,-2.25,0.5,-3.0460000000000003,0.5,106.050625,2015-12-04
12/5/2015,-8.0,,,2.3125,,0.9375,1.0,,,-2.0,0.5,-2.79475,0.5,106.27475,2015-12-05
12/6/2015,-8.0,,,3.5,,2.0,0.9375,,,-1.125,0.5,-1.914125,0.5,106.9425,2015-12-06
12/7/2015,-8.0,,,4.0,,2.8125,1.1875,,,-0.125,0.5,-0.8455,0.5,107.994375,2015-12-07
12/8/2015,-8.0,,,5.0,,3.625,1.5,,,1.0625,0.5,0.03425,0.5,107.7905,2015-12-08
12/9/2015,-8.0,,,2.6875,,1.0,1.4375,,,-1.5625,0.5,-2.732125,0.5,107.273375,2015-12-09
12/10/2015,-8.0,,,1.8125,,0.5625,1.5,,,-2.4375,0.5,-3.423875,0.5,106.3305,2015-12-10
12/11/2015,-8.0,,,1.1875,,-0.3125,1.5625,,,-2.9375,0.5,-4.178625,0.5,106.162625,2015-12-11
12/12/2015,-8.0,,,0.625,,-0.25,2.0,,,-3.125,0.5,-4.178625,0.5,106.161875,2015-12-12
12/13/2015,-8.0,,,0.375,,-0.375,2.0,,,-3.5,0.5,-4.493125,0.5,105.99425,2015-12-13
12/14/2015,-8.0,,,-0.125,,-1.6875,2.0,,,-4.75,0.5,-6.066,0.5,105.036,2015-12-14
12/15/2015,-8.0,,,-0.625,,-2.4375,2.0,,,-5.6875,0.5,-6.19225,0.5,105.318875,2015-12-15
12/16/2015,-8.0,,,-2.625,,-4.5625,2.0,,,-7.25,0.5,-8.647375,0.5,104.300125,2015-12-16
12/17/2015,-8.0,,,-0.5625,,-1.3125,2.0,,,-4.375,0.5,-4.99675,0.5,105.429625,2015-12-17
12/18/2015,-8.0,,,0.4375,,-0.25,0.875,,,-3.375,0.5,-4.367375,0.5,106.04700000000001,2015-12-18
12/19/2015,-8.0,,,-0.375,,-1.75,1.5,,,-4.6875,0.5,-5.8145,0.5,105.544375,2015-12-19
12/20/2015,-8.0,,,0.0,,-1.0625,2.0,,,-4.3125,0.5,-5.562625,0.5,105.432125,2015-12-20
12/21/2015,-8.0,,,-0.1875,,-1.8125,2.0,,,-5.0625,0.5,-6.317875,0.5,105.26299999999999,2015-12-21
12/22/2015,-8.0,,,-0.9375,,-2.6875,2.0,,,-5.875,0.5,-7.262125,0.5,104.75399999999999,2015-12-22
12/23/2015,-8.0,,,-0.8125,,-2.5625,2.0,,,-6.0,0.5,-7.01025,0.5,105.03725,2015-12-23
12/24/2015,-8.0,,,-0.8125,,-2.5,2.0,,,-5.875,0.5,-7.07325,0.5,104.81075,2015-12-24
12/25/2015,-8.0,,,-2.125,,-4.1875,2.0,,,-6.625,0.5,-9.21425,0.5,104.186,2015-12-25
12/26/2015,-8.0,,,-2.8125,,-4.625,2.0,,,-7.8125,0.5,-9.088125,0.5,103.957875,2015-12-26
12/27/2015,-8.0,,,-0.5,,-1.6875,2.0,,,-5.125,0.5,-5.814625,0.5,105.37575,2015-12-27
12/28/2015,-8.0,,,-1.0,,-2.5625,2.0,,,-4.5625,0.5,-6.569875,0.5,105.20625,2015-12-28
12/29/2015,-8.0,,,-3.75,,-5.4375,2.0,,,-6.75,0.5,-9.340125,0.5,104.4135,2015-12-29
12/30/2015,-8.0,,,-6.375,,-7.5,2.0,,,-8.5,0.5,-9.025375,0.5,103.214375,2015-12-30
12/31/2015,-8.0,,,-4.125,,-4.3125,2.0,,,-5.25,0.5,-4.115875,0.5,102.8675,2015-12-31
1/1/2016,-8.0,,,-1.6875,,-1.625,2.0,,,-2.6875,0.5,-0.531625,0.5,94.465,2016-01-01
1/2/2016,-8.0,,,-2.0,,-2.0625,2.0,,,-2.1875,0.5,-1.851875,0.5,63.083125,2016-01-02
1/3/2016,-8.0,,,-2.5,,-3.0,2.0,,,-5.5,0.5,-6.50675,0.5,91.363625,2016-01-03
1/4/2016,-8.0,,,-1.4375,,-1.5625,2.0,,,-3.875,0.5,-4.178625,0.5,104.411125,2016-01-04
1/5/2016,-8.0,,,0.875,,1.1875,1.0,,,-1.1875,0.5,-2.10275,0.5,105.994,2016-01-05
1/6/2016,-8.0,,,1.1875,,1.5625,1.0625,,,-0.1875,0.5,-1.59975,0.5,105.01299999999999,2016-01-06
1/7/2016,-8.0,,,1.125,,1.1875,1.5,,,-1.0,0.5,-2.35425,0.5,101.98200000000001,2016-01-07
1/8/2016,-8.0,,,0.8125,,0.875,1.75,,,-1.9375,0.5,-3.235125,0.5,97.030875,2016-01-08
1/9/2016,-8.0,,,-0.4375,,-0.125,2.0,,,-2.1875,0.5,-3.298,0.5,94.74025,2016-01-09
1/10/2016,-8.0,,,-0.5,,0.125,2.0,,,-2.625,0.5,-3.10925,0.5,91.6595,2016-01-10
1/11/2016,-8.0,,,1.125,,2.0625,1.4375,,,-2.4375,0.5,-2.480125,0.5,91.62025,2016-01-11
1/12/2016,-8.0,,,2.375,,2.0,0.5,,,-0.6875,0.5,-1.536875,0.5,106.887,2016-01-12
1/13/2016,-8.0,,,1.875,,0.875,0.5,,,-1.5625,0.5,-3.046375,0.5,106.271875,2016-01-13
