Time,AirT_Lapse7_daily_mean
2017-09-27,15.6615
2017-09-28,13.90825
2017-09-29,7.89375
2017-09-30,0.871
2017-10-01,0.2435
2017-10-02,1.184625
2017-10-03,5.82525
2017-10-04,8.270375
2017-10-05,9.398375
2017-10-06,3.25475
2017-10-07,-0.82325
2017-10-08,0.18075
2017-10-09,2.0
2017-10-10,1.12125
2017-10-11,-3.6485
2017-10-12,-3.460125
2017-10-13,-3.27175
2017-10-14,-2.958
2017-10-15,3.882
2017-10-16,2.753
2017-10-17,1.121375
2017-10-18,0.054375
2017-10-19,0.55725
2017-10-20,-2.1415
2017-10-21,-2.078875
2017-10-22,0.05525
2017-10-23,0.808125
2017-10-24,8.270375
2017-10-25,5.700125
2017-10-26,5.7625
2017-10-27,14.221125
2017-10-28,13.72025
2017-10-29,6.828375
2017-10-30,4.508625
2017-10-31,5.38675
2017-11-01,-0.94875
2017-11-02,-3.522875
2017-11-03,-6.725875
2017-11-04,-7.919625
2017-11-05,-8.98111111111
2017-11-06,-7.85675
2017-11-07,-4.59125
2017-11-08,0.18075
2017-11-09,-1.38825
2017-11-10,-1.451125
2017-11-11,-1.890375
2017-11-12,-0.886
2017-11-13,-2.769375
2017-11-14,-3.146
2017-11-15,-3.397375
2017-11-16,-4.402
2017-11-17,-5.281125
2017-11-18,-3.52275
2017-11-19,-3.962375
2017-11-20,-2.016125
2017-11-21,1.183
2017-11-22,6.39
2017-11-23,-0.258875
2017-11-24,-2.644
2017-11-25,-1.451125
2017-11-26,-0.573625
2017-11-27,-5.155375
2017-11-28,-4.088
2017-11-29,-4.087875
2017-11-30,-3.52275
2017-12-01,-4.401875
2017-12-02,-4.59025
2017-12-03,-5.97225
2017-12-04,-6.726125
2017-12-05,-1.451
2017-12-06,0.87075
2017-12-07,8.3955
2017-12-08,7.8945
2017-12-09,7.7065
2017-12-10,9.460875
2017-12-11,9.83625
2017-12-12,2.125875
2017-12-13,2.376375
2017-12-14,5.763
2017-12-15,-3.02075
2017-12-16,-5.344
2017-12-17,-3.0835
2017-12-18,-3.774125
2017-12-19,-4.590625
2017-12-20,-9.36525
2017-12-21,-7.668625
2017-12-22,-10.182875
2017-12-23,-10.183125
2017-12-24,-4.841875
2017-12-25,-7.417
2017-12-26,-8.736375
2017-12-27,-6.726
2017-12-28,-2.95775
2017-12-29,-1.827625
2017-12-30,-5.406875
2017-12-31,-4.967375
2018-01-01,0.807875
2018-01-02,5.700375
2018-01-03,5.387
2018-01-04,4.132625
2018-01-05,1.56125
2018-01-06,-3.020875
2018-01-07,-3.58575
2018-01-08,-1.953125
2018-01-09,-3.3345
2018-01-10,-6.097625
2018-01-11,-2.7695
2018-01-12,-1.38825
2018-01-13,0.9335
2018-01-14,9.02225
2018-01-15,6.01375
2018-01-16,-1.8905
2018-01-17,-1.074625
2018-01-18,-4.213625
2018-01-19,-4.967125
2018-01-20,-5.029875
2018-01-21,-4.150875
2018-01-22,-5.40675
2018-01-23,-4.339375
2018-01-24,-2.95775
2018-01-25,-6.5375
2018-01-26,-6.663125
2018-01-27,-4.276375
2018-01-28,-1.20025
2018-01-29,-1.6395
2018-01-30,-6.03475
2018-01-31,-6.223125
2018-02-01,-4.150875
2018-02-02,-0.886125
2018-02-03,-0.94875
2018-02-04,-0.07025
2018-02-05,-2.20425
2018-02-06,-2.83225
2018-02-07,-0.133
2018-02-08,-1.325875
2018-02-09,-5.34425
2018-02-10,-7.731375
2018-02-11,-8.674125
2018-02-12,-8.6745
2018-02-13,-7.47975
2018-02-14,-6.41175
2018-02-15,-7.479625
2018-02-16,-6.09775
2018-02-17,-5.59525
2018-02-18,-14.0185
2018-02-19,-15.590875
2018-02-20,-13.955375
2018-02-21,-14.3955
2018-02-22,-14.20675
2018-02-23,-12.634625
2018-02-24,-8.045375
2018-02-25,-8.234
2018-02-26,-8.92525
2018-02-27,-7.291375
2018-02-28,-6.1605
2018-03-01,-5.532375
2018-03-02,-6.97725
