DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode
22.73675,8/16/2016,-8,8/16/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
54.61775,8/16/2016,-8,8/16/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
18.607625,8/17/2016,-8,8/17/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
69.39475,8/17/2016,-8,8/17/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
21.671625,8/18/2016,-8,8/18/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
52.707625,8/18/2016,-8,8/18/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
22.171875,8/19/2016,-8,8/19/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
46.02625,8/19/2016,-8,8/19/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
21.921875,8/20/2016,-8,8/20/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
48.498875,8/20/2016,-8,8/20/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
18.358125,8/21/2016,-8,8/21/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
57.05125,8/21/2016,-8,8/21/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
13.851125,8/22/2016,-8,8/22/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
74.9595,8/22/2016,-8,8/22/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
15.665,8/23/2016,-8,8/23/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
71.40925,8/23/2016,-8,8/23/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
19.0445,8/24/2016,-8,8/24/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
58.983125,8/24/2016,-8,8/24/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
20.421625,8/25/2016,-8,8/25/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
53.282625,8/25/2016,-8,8/25/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
20.85925,8/26/2016,-8,8/26/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
50.7225,8/26/2016,-8,8/26/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
17.482375,8/27/2016,-8,8/27/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
64.446,8/27/2016,-8,8/27/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
13.97625,8/28/2016,-8,8/28/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
84.068875,8/28/2016,-8,8/28/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
16.104,8/29/2016,-8,8/29/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
81.3035,8/29/2016,-8,8/29/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
15.165375,8/30/2016,-8,8/30/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
80.758,8/30/2016,-8,8/30/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
13.6635,8/31/2016,-8,8/31/2016,NFN1,AirTemp_avg,iButton_1923_AT,jbeaulieu,2
93.489125,8/31/2016,-8,8/31/2016,NFN1,Relative_humidity_avg,iButton_1923_RH,jbeaulieu,1
