DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,,,,,,,,,,
1.875,12/4/15,-8,12/3/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.3125,12/5/15,-8,12/4/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
3.5,12/6/15,-8,12/5/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
4,12/7/15,-8,12/6/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
5,12/8/15,-8,12/7/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
2.6875,12/9/15,-8,12/8/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.8125,12/10/15,-8,12/9/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
1.1875,12/11/15,-8,12/10/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.625,12/12/15,-8,12/11/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
0.375,12/13/15,-8,12/12/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.125,12/14/15,-8,12/13/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.625,12/15/15,-8,12/14/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-2.625,12/16/15,-8,12/15/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
-0.5625,12/17/15,-8,12/16/15,NFN3,AirTemp_avg,iButton_1923_AT,jbeaulieu,-9999,,,,,,,,,,
